stock_code,날짜,순이익(원)
322000,2025-03-10,0
322000,2025-03-11,-55000
322000,2025-03-12,-95000
322000,2025-03-13,-95000
322000,2025-03-14,-30000
322000,2025-03-17,-125000
322000,2025-03-18,-110000
322000,2025-03-19,-40000
322000,2025-03-20,-110000
322000,2025-03-21,-165000
322000,2025-03-24,-205000
322000,2025-03-25,-200000
322000,2025-03-26,-85000
322000,2025-03-27,-180000
322000,2025-03-28,-255000
322000,2025-03-31,-400000
322000,2025-04-01,-240000
322000,2025-04-02,-185000
322000,2025-04-03,-160000
322000,2025-04-04,30000
322000,2025-04-07,-155000
322000,2025-04-08,-155000
322000,2025-04-09,-260000
322000,2025-04-10,-60000
322000,2025-04-11,-25000
322000,2025-04-14,10000
322000,2025-04-15,10000
322000,2025-04-16,-55000
322000,2025-04-17,70000
322000,2025-04-18,-10000
322000,2025-04-21,5000
322000,2025-04-22,165000
322000,2025-04-23,115000
322000,2025-04-24,130000
322000,2025-04-25,245000
322000,2025-04-28,280000
322000,2025-04-29,330000
322000,2025-04-30,240000
322000,2025-05-02,190000
322000,2025-05-07,300000
322000,2025-05-08,395000
322000,2025-05-09,575000
322000,2025-05-12,690000
322000,2025-05-13,770000
322000,2025-05-14,1785000
322000,2025-05-15,1415000
322000,2025-05-16,2030000
322000,2025-05-19,2450000
322000,2025-05-20,2075000
322000,2025-05-21,2095000
322000,2025-05-22,1755000
322000,2025-05-23,2045000
322000,2025-05-26,1510000
322000,2025-05-27,1340000
322000,2025-05-28,1305000
322000,2025-05-29,1450000
322000,2025-05-30,2205000
322000,2025-06-02,2600000
322000,2025-06-04,2610000
322000,2025-06-05,2480000
322000,2025-06-09,2280000
322000,2025-06-10,2155000
322000,2025-06-11,2470000
322000,2025-06-12,2350000
322000,2025-06-13,2200000
322000,2025-06-16,2375000
322000,2025-06-17,2185000
322000,2025-06-18,1925000
322000,2025-06-19,1880000
322000,2025-06-20,1910000
322000,2025-06-23,1910000
322000,2025-06-24,1940000
322000,2025-06-25,1985000
322000,2025-06-26,1885000
322000,2025-06-27,1820000
322000,2025-06-30,1775000
322000,2025-07-01,1795000
322000,2025-07-02,1860000
322000,2025-07-03,1885000
322000,2025-07-04,1745000
322000,2025-07-07,1660000
322000,2025-07-08,1690000
322000,2025-07-09,1700000
322000,2025-07-10,1725000
322000,2025-07-11,1855000
322000,2025-07-14,1780000
322000,2025-07-15,2035000
322000,2025-07-16,2010000
322000,2025-07-17,2025000
322000,2025-07-18,1920000
322000,2025-07-21,2075000
