date,open,high,low,close,volume
2025-02-26,57000,57100,56100,56600,18117091
2025-02-27,56500,57100,56200,56300,14975356
2025-02-28,55400,55700,54500,54500,28036698
2025-03-04,53900,55000,53800,54500,18553933
2025-03-05,55100,55400,54000,54000,16578817
2025-03-06,54100,54500,54000,54300,12258101
2025-03-07,53500,54200,53400,53700,14274992
2025-03-10,53500,54800,53500,53700,12921670
2025-03-11,52500,54100,52500,53600,17740891
2025-03-12,53800,55300,53600,54900,17973221
2025-03-13,55800,55900,54200,54700,24132151
2025-03-14,54500,55100,54400,54700,10845154
2025-03-17,55500,57800,55400,57600,35559021
2025-03-18,58800,59000,57300,57600,28138594
2025-03-19,57400,59200,57400,58500,29421759
2025-03-20,59200,60300,58500,60200,34989004
2025-03-21,60900,61700,60400,61700,40155612
2025-03-24,61200,61600,60500,60500,14088094
2025-03-25,60900,61100,59500,59800,17259455
2025-03-26,59800,61400,59700,61400,16431645
2025-03-27,60900,62000,60800,61800,20389790
2025-03-28,60700,61100,60000,60200,16282514
2025-03-31,59500,59700,57800,57800,17633494
2025-04-01,58700,59600,57900,58800,13841706
2025-04-02,58800,59400,58300,58800,14402297
2025-04-03,56900,57800,56900,57600,19508076
2025-04-04,56200,58200,55700,56100,23527139
2025-04-07,53300,54100,53100,53200,31998883
2025-04-08,55000,55300,53300,53500,25532845
2025-04-09,53300,54300,52900,53000,20576960
2025-04-10,56600,56700,55000,56400,22948172
2025-04-11,55600,55700,54800,55200,13930480
2025-04-14,56300,56700,55800,56200,12852613
2025-04-15,56300,57100,56200,56600,8998640
2025-04-16,56000,56200,54500,54700,14437025
2025-04-17,54700,55300,54500,55100,10867069
2025-04-18,55300,55600,54900,55300,5848342
2025-04-21,55200,56000,55100,55400,5941847
2025-04-22,54900,55500,54700,55000,9532469
2025-04-23,56000,56100,55500,55700,11148692
2025-04-24,55600,55800,55200,55700,10580377
2025-04-25,56400,56400,55600,55700,12183303
2025-04-28,55800,55900,55500,55800,9341518
2025-04-29,55700,56500,55600,55800,10295518
2025-04-30,55900,56000,55300,55500,13014189
2025-05-02,55000,55500,54200,54300,22454204
2025-05-07,54500,55000,54300,54600,17136991
2025-05-08,55100,55500,54500,54600,16320532
2025-05-09,54700,55000,54400,54800,7814322
2025-05-12,55200,57600,55000,57600,15414702
2025-05-13,57700,58200,56800,56900,16842801
2025-05-14,57500,57900,57000,57400,12468089
2025-05-15,57400,58600,57100,57300,13139736
2025-05-16,57400,57500,56700,56800,10385352
2025-05-19,56400,56400,55500,55800,9802105
2025-05-20,56200,56700,55700,55900,9080577
2025-05-21,56200,56600,55700,55700,7794181
2025-05-22,55300,55500,54500,54700,15254278
2025-05-23,55000,55200,54100,54200,11247115
2025-05-26,53900,55000,53700,54700,10901337
2025-05-27,54200,54500,53800,53900,13439520
2025-05-28,54300,56100,54200,55900,17516283
2025-05-29,56200,56400,55600,56100,12936810
2025-05-30,56200,57200,55800,56200,26219683
2025-06-02,56300,57300,56200,56800,12870515
2025-06-04,57200,57900,56800,57800,19649983
2025-06-05,58100,59900,57900,59100,23266027
2025-06-09,60400,60400,59500,59800,19609659
2025-06-10,60000,60100,58800,59200,15305760
2025-06-11,59500,60100,59400,59900,13610734
2025-06-12,59700,60000,59300,59500,17755115
2025-06-13,60200,60200,57700,58300,20705979
2025-06-16,58000,58100,56900,57200,22200872
2025-06-17,57800,59800,57400,58100,28637003
2025-06-18,58000,59800,57900,59800,17620705
2025-06-19,60500,60600,59000,59200,16876278
2025-06-20,59400,59800,59100,59500,18072251
2025-06-23,58400,58500,57600,58000,16551694
2025-06-24,59400,60600,59300,60500,23737899
2025-06-25,61500,61600,60300,61300,23933612
2025-06-26,61300,61300,59900,60200,19402300
2025-06-27,60100,61600,60000,60800,17340470
2025-06-30,61200,61200,59800,59800,17110294
2025-07-01,60400,61100,60200,60200,13650991
2025-07-02,60200,60900,59800,60800,15047951
2025-07-03,61300,63800,61100,63800,32040639
2025-07-04,64700,64700,63000,63300,23748959
2025-07-07,62900,63300,61700,61700,17164708
2025-07-08,61600,62400,61000,61400,20213724
2025-07-09,61400,61400,60200,60400,17533415
2025-07-10,60600,61200,60400,61000,14768473
2025-07-11,61300,62800,61200,62600,19140650
2025-07-14,62300,62600,61800,62500,13563846
2025-07-15,62300,63800,62000,63700,18442202
2025-07-16,63700,64700,63100,64200,18691812
